taxonomy,imt,iml_unit,noDamageLimit,iml,Slight,Moderate,Extreme,Complete
C2H,PGA,g,0.01,0.05,0.085669,0.0030103,0.000006191,7.6191E-09
C2H,PGA,g,0.01,0.1,0.38787,0.048095,0.00050503,2.3718E-06
C2H,PGA,g,0.01,0.15,0.63633,0.15149,0.0039752,0.000040356
C2H,PGA,g,0.01,0.2,0.78761,0.28077,0.013739,0.00023901
C2H,PGA,g,0.01,0.25,0.87427,0.40831,0.031726,0.00083295
C2H,PGA,g,0.01,0.3,0.92389,0.52112,0.058076,0.0021233
C2H,PGA,g,0.01,0.35,0.95279,0.61556,0.091715,0.0044175
C2H,PGA,g,0.01,0.4,0.97003,0.69233,0.13101,0.0079821
C2H,PGA,g,0.01,0.45,0.98055,0.7538,0.17423,0.013017
C2H,PGA,g,0.01,0.5,0.98712,0.80265,0.21977,0.019648
C2H,PGA,g,0.01,0.55,0.99132,0.84136,0.2663,0.027929
C2H,PGA,g,0.01,0.6,0.99404,0.87202,0.31274,0.03785
C2H,PGA,g,0.01,0.65,0.99585,0.89636,0.3583,0.049356
C2H,PGA,g,0.01,0.7,0.99707,0.91572,0.40237,0.062351
C2H,PGA,g,0.01,0.75,0.9979,0.93119,0.44456,0.076713
C2H,PGA,g,0.01,0.8,0.99848,0.94358,0.48461,0.092306
C2H,PGA,g,0.01,0.85,0.99889,0.95354,0.52239,0.10898
C2H,PGA,g,0.01,0.9,0.99918,0.9616,0.55782,0.12659
C2H,PGA,g,0.01,0.95,0.99939,0.96813,0.59093,0.14499
C2H,PGA,g,0.01,1,0.99954,0.97345,0.62175,0.16403
PC1,PGA,g,0.01,0.01,1.4286E-06,1.3862E-08,1.1762E-11,2.2747E-14
PC1,PGA,g,0.01,0.05,0.015152,0.001181,0.000015395,2.4589E-07
PC1,PGA,g,0.01,0.1,0.13939,0.025148,0.0010195,0.000039659
PC1,PGA,g,0.01,0.15,0.32653,0.092768,0.0071237,0.00046165
PC1,PGA,g,0.01,0.2,0.5,0.19095,0.022671,0.0020955
PC1,PGA,g,0.01,0.25,0.63633,0.29954,0.049186,0.0059559
PC1,PGA,g,0.01,0.3,0.73681,0.40483,0.085669,0.012878
PC1,PGA,g,0.01,0.35,0.80905,0.5,0.12986,0.02335
PC1,PGA,g,0.01,0.4,0.86061,0.58264,0.1792,0.037508
PC1,PGA,g,0.01,0.45,0.89744,0.65272,0.23136,0.055208
PC1,PGA,g,0.01,0.5,0.92389,0.71134,0.28442,0.076114
PC1,PGA,g,0.01,0.55,0.94302,0.75998,0.33694,0.099784
PC1,PGA,g,0.01,0.6,0.95697,0.80016,0.38787,0.12573
PC1,PGA,g,0.01,0.65,0.96724,0.83329,0.43652,0.15345
PC1,PGA,g,0.01,0.7,0.97485,0.86061,0.48245,0.18248
PC1,PGA,g,0.01,0.75,0.98055,0.88314,0.52543,0.21239
PC1,PGA,g,0.01,0.8,0.98485,0.90177,0.56538,0.2428
PC1,PGA,g,0.01,0.85,0.98811,0.91719,0.60232,0.27339
PC1,PGA,g,0.01,0.9,0.99062,0.92999,0.63633,0.30388
PC1,PGA,g,0.01,0.95,0.99255,0.94064,0.66754,0.33403
PC1,PGA,g,0.01,1,0.99404,0.94953,0.69612,0.36367
PC2L,PGA,g,0.01,0.01,3.4225E-07,1.0764E-08,1.8478E-11,2.759E-14
PC2L,PGA,g,0.01,0.05,0.0071237,0.0010195,0.000020564,2.8034E-07
PC2L,PGA,g,0.01,0.1,0.085669,0.022671,0.0012722,0.000044046
PC2L,PGA,g,0.01,0.15,0.23136,0.085669,0.008552,0.00050503
PC2L,PGA,g,0.01,0.2,0.38787,0.1792,0.026498,0.0022684
PC2L,PGA,g,0.01,0.25,0.52543,0.28442,0.056336,0.0063953
PC2L,PGA,g,0.01,0.3,0.63633,0.38787,0.096557,0.013739
PC2L,PGA,g,0.01,0.35,0.72224,0.48245,0.14444,0.024776
PC2L,PGA,g,0.01,0.4,0.78761,0.56538,0.19713,0.039616
PC2L,PGA,g,0.01,0.45,0.837,0.63633,0.2521,0.058076
PC2L,PGA,g,0.01,0.5,0.87427,0.69612,0.30739,0.079788
PC2L,PGA,g,0.01,0.55,0.90247,0.74608,0.36154,0.10427
PC2L,PGA,g,0.01,0.6,0.92389,0.78761,0.41357,0.13101
PC2L,PGA,g,0.01,0.65,0.94024,0.82206,0.46283,0.15949
PC2L,PGA,g,0.01,0.7,0.95279,0.8506,0.50897,0.18922
PC2L,PGA,g,0.01,0.75,0.96249,0.87427,0.55183,0.21977
PC2L,PGA,g,0.01,0.8,0.97003,0.89392,0.59139,0.25075
PC2L,PGA,g,0.01,0.85,0.97592,0.91027,0.62773,0.28184
PC2L,PGA,g,0.01,0.9,0.98055,0.92389,0.66099,0.31274
PC2L,PGA,g,0.01,0.95,0.98421,0.93526,0.69134,0.34325
PC2L,PGA,g,0.01,1,0.98712,0.94479,0.71897,0.37317
PC2M,PGA,g,0.01,0.01,4.7799E-06,7.1481E-08,2.5186E-11,2.2617E-15
PC2M,PGA,g,0.01,0.05,0.027929,0.0030103,0.000025058,5.0545E-08
PC2M,PGA,g,0.01,0.1,0.20352,0.048095,0.0014791,0.000011091
PC2M,PGA,g,0.01,0.15,0.42247,0.15149,0.0096806,0.00015418
PC2M,PGA,g,0.01,0.2,0.60023,0.28077,0.029446,0.00079246
PC2M,PGA,g,0.01,0.25,0.72661,0.40831,0.061739,0.002477
PC2M,PGA,g,0.01,0.3,0.81259,0.52112,0.10466,0.0057828
PC2M,PGA,g,0.01,0.35,0.87041,0.61556,0.15515,0.011178
PC2M,PGA,g,0.01,0.4,0.90939,0.69233,0.21013,0.018964
PC2M,PGA,g,0.01,0.45,0.93587,0.7538,0.267,0.029273
PC2M,PGA,g,0.01,0.5,0.95407,0.80265,0.32373,0.042087
PC2M,PGA,g,0.01,0.55,0.96671,0.84136,0.3789,0.057278
PC2M,PGA,g,0.01,0.6,0.97561,0.87202,0.43155,0.074639
PC2M,PGA,g,0.01,0.65,0.98194,0.89636,0.48112,0.093916
PC2M,PGA,g,0.01,0.7,0.9865,0.91572,0.52728,0.11483
PC2M,PGA,g,0.01,0.75,0.98981,0.93119,0.56995,0.1371
PC2M,PGA,g,0.01,0.8,0.99224,0.94358,0.60914,0.16046
PC2M,PGA,g,0.01,0.85,0.99404,0.95354,0.64498,0.18463
PC2M,PGA,g,0.01,0.9,0.99539,0.9616,0.67764,0.20939
PC2M,PGA,g,0.01,0.95,0.99641,0.96813,0.70733,0.23451
PC2M,PGA,g,0.01,1,0.99719,0.97345,0.73426,0.25981
PC2H,PGA,g,0.01,0.01,0.000051659,4.8111E-07,4.7832E-11,2.6693E-15
PC2H,PGA,g,0.01,0.05,0.085669,0.008552,0.000037648,5.6671E-08
PC2H,PGA,g,0.01,0.1,0.38787,0.096557,0.0020146,0.000012168
PC2H,PGA,g,0.01,0.15,0.63633,0.2521,0.01247,0.00016704
PC2H,PGA,g,0.01,0.2,0.78761,0.41357,0.036501,0.000851
PC2H,PGA,g,0.01,0.25,0.87427,0.55183,0.074348,0.0026421
PC2H,PGA,g,0.01,0.3,0.92389,0.66099,0.12317,0.0061348
PC2H,PGA,g,0.01,0.35,0.95279,0.74409,0.1792,0.011804
PC2H,PGA,g,0.01,0.4,0.97003,0.80639,0.23892,0.01995
PC2H,PGA,g,0.01,0.45,0.98055,0.85284,0.29954,0.030689
PC2H,PGA,g,0.01,0.5,0.98712,0.8875,0.35901,0.043992
PC2H,PGA,g,0.01,0.55,0.99132,0.91344,0.41598,0.059711
PC2H,PGA,g,0.01,0.6,0.99404,0.93296,0.46962,0.077622
PC2H,PGA,g,0.01,0.65,0.99585,0.94773,0.51947,0.097456
PC2H,PGA,g,0.01,0.7,0.99707,0.95899,0.56538,0.11892
PC2H,PGA,g,0.01,0.75,0.9979,0.96762,0.60735,0.14173
PC2H,PGA,g,0.01,0.8,0.99848,0.97427,0.64553,0.16559
PC2H,PGA,g,0.01,0.85,0.99889,0.97945,0.68011,0.19024
PC2H,PGA,g,0.01,0.9,0.99918,0.98349,0.71134,0.21543
PC2H,PGA,g,0.01,0.95,0.99939,0.98666,0.73949,0.24096
PC2H,PGA,g,0.01,1,0.99954,0.98917,0.76483,0.26661
RM1L,PGA,g,0.01,0.01,5.3513E-08,1.1004E-09,7.0949E-13,1.3902E-15
RM1L,PGA,g,0.01,0.05,0.0025581,0.00026266,2.4686E-06,3.6094E-08
RM1L,PGA,g,0.01,0.1,0.043028,0.008552,0.00024662,8.4405E-06
RM1L,PGA,g,0.01,0.15,0.13939,0.03998,0.0021801,0.00012172
RM1L,PGA,g,0.01,0.2,0.26319,0.096557,0.0081672,0.00064195
RM1L,PGA,g,0.01,0.25,0.38787,0.17036,0.020051,0.0020466
RM1L,PGA,g,0.01,0.3,0.5,0.2521,0.038546,0.0048547
RM1L,PGA,g,0.01,0.35,0.59517,0.33468,0.063386,0.0095096
RM1L,PGA,g,0.01,0.4,0.67347,0.41357,0.0937,0.016319
RM1L,PGA,g,0.01,0.45,0.73681,0.4863,0.12834,0.025441
RM1L,PGA,g,0.01,0.5,0.78761,0.55183,0.16611,0.0369
RM1L,PGA,g,0.01,0.55,0.8282,0.60996,0.2059,0.050614
RM1L,PGA,g,0.01,0.6,0.86061,0.66099,0.24674,0.066423
RM1L,PGA,g,0.01,0.65,0.8865,0.70548,0.28784,0.084116
RM1L,PGA,g,0.01,0.7,0.90723,0.74409,0.32855,0.10345
RM1L,PGA,g,0.01,0.75,0.92389,0.77751,0.36839,0.12419
RM1L,PGA,g,0.01,0.8,0.93731,0.80639,0.407,0.14606
RM1L,PGA,g,0.01,0.85,0.94816,0.83132,0.44412,0.16884
RM1L,PGA,g,0.01,0.9,0.95697,0.85284,0.47957,0.19231
RM1L,PGA,g,0.01,0.95,0.96415,0.87143,0.51326,0.21624
RM1L,PGA,g,0.01,1,0.97003,0.8875,0.54514,0.24047
RM1M,PGA,g,0.01,0.01,1.4286E-06,8.4014E-09,3.2938E-12,1.2173E-16
RM1M,PGA,g,0.01,0.05,0.015152,0.00088206,0.000006758,6.5895E-09
RM1M,PGA,g,0.01,0.1,0.13939,0.020463,0.00054052,2.1055E-06
RM1M,PGA,g,0.01,0.15,0.32653,0.079162,0.0042069,0.000036369
RM1M,PGA,g,0.01,0.2,0.5,0.16822,0.014426,0.0002177
RM1M,PGA,g,0.01,0.25,0.63633,0.27008,0.033117,0.00076487
RM1M,PGA,g,0.01,0.3,0.73681,0.37157,0.060336,0.0019626
RM1M,PGA,g,0.01,0.35,0.80905,0.4654,0.094913,0.0041058
RM1M,PGA,g,0.01,0.4,0.86061,0.54848,0.13513,0.0074541
RM1M,PGA,g,0.01,0.45,0.89744,0.62014,0.1792,0.012207
RM1M,PGA,g,0.01,0.5,0.92389,0.68099,0.22549,0.018492
RM1M,PGA,g,0.01,0.55,0.94302,0.73217,0.27263,0.026372
RM1M,PGA,g,0.01,0.6,0.95697,0.77498,0.31957,0.035847
RM1M,PGA,g,0.01,0.65,0.96724,0.81068,0.36548,0.04687
RM1M,PGA,g,0.01,0.7,0.97485,0.84043,0.4098,0.059356
RM1M,PGA,g,0.01,0.75,0.98055,0.86521,0.45214,0.073195
RM1M,PGA,g,0.01,0.8,0.98485,0.88587,0.49226,0.088258
RM1M,PGA,g,0.01,0.85,0.98811,0.90313,0.53002,0.10441
RM1M,PGA,g,0.01,0.9,0.99062,0.91757,0.56538,0.1215
RM1M,PGA,g,0.01,0.95,0.99255,0.92967,0.59836,0.13939
RM1M,PGA,g,0.01,1,0.99404,0.93985,0.62902,0.15796
RM2L,PGA,g,0.01,0.01,1.783E-07,2.6083E-09,1.4973E-12,2.6693E-15
RM2L,PGA,g,0.01,0.05,0.0049971,0.00044152,4.0366E-06,5.6671E-08
RM2L,PGA,g,0.01,0.1,0.06772,0.01247,0.00036218,0.000012168
RM2L,PGA,g,0.01,0.15,0.19505,0.053832,0.0030103,0.00016704
RM2L,PGA,g,0.01,0.2,0.34092,0.12317,0.010805,0.000851
RM2L,PGA,g,0.01,0.25,0.47557,0.20879,0.025678,0.0026421
RM2L,PGA,g,0.01,0.3,0.58846,0.29954,0.048095,0.0061348
RM2L,PGA,g,0.01,0.35,0.67884,0.38787,0.077404,0.011804
RM2L,PGA,g,0.01,0.4,0.74956,0.46962,0.11235,0.01995
RM2L,PGA,g,0.01,0.45,0.80431,0.54292,0.15149,0.030689
RM2L,PGA,g,0.01,0.5,0.84655,0.60735,0.1934,0.043992
RM2L,PGA,g,0.01,0.55,0.87914,0.66325,0.23683,0.059711
RM2L,PGA,g,0.01,0.6,0.90433,0.71134,0.28077,0.077622
RM2L,PGA,g,0.01,0.65,0.92389,0.7525,0.32437,0.097456
RM2L,PGA,g,0.01,0.7,0.93913,0.78761,0.36704,0.11892
RM2L,PGA,g,0.01,0.75,0.95107,0.81752,0.40831,0.14173
RM2L,PGA,g,0.01,0.8,0.96047,0.84299,0.44786,0.16559
RM2L,PGA,g,0.01,0.85,0.96791,0.86467,0.48551,0.19024
RM2L,PGA,g,0.01,0.9,0.97382,0.88314,0.52112,0.21543
RM2L,PGA,g,0.01,0.95,0.97855,0.8989,0.55466,0.24096
RM2L,PGA,g,0.01,1,0.98235,0.91237,0.58613,0.26661
RM2M,PGA,g,0.01,0.01,4.7799E-06,2.3369E-08,7.5949E-12,1.9793E-16
RM2M,PGA,g,0.01,0.05,0.027929,0.0015964,0.000011616,9.2713E-09
RM2M,PGA,g,0.01,0.1,0.20352,0.031055,0.00082115,2.7857E-06
RM2M,PGA,g,0.01,0.15,0.42247,0.10898,0.0059559,0.000046437
RM2M,PGA,g,0.01,0.2,0.60023,0.21697,0.01945,0.0002711
RM2M,PGA,g,0.01,0.25,0.72661,0.33222,0.043028,0.0009344
RM2M,PGA,g,0.01,0.3,0.81259,0.44081,0.076114,0.0023607
RM2M,PGA,g,0.01,0.35,0.87041,0.53663,0.11686,0.0048747
RM2M,PGA,g,0.01,0.4,0.90939,0.61813,0.163,0.008752
RM2M,PGA,g,0.01,0.45,0.93587,0.68603,0.21239,0.014193
RM2M,PGA,g,0.01,0.5,0.95407,0.74191,0.26319,0.021317
RM2M,PGA,g,0.01,0.55,0.96671,0.78761,0.31397,0.030166
RM2M,PGA,g,0.01,0.6,0.97561,0.82488,0.36367,0.040718
RM2M,PGA,g,0.01,0.65,0.98194,0.85524,0.41154,0.052902
RM2M,PGA,g,0.01,0.7,0.9865,0.88,0.45708,0.066607
RM2M,PGA,g,0.01,0.75,0.98981,0.90022,0.5,0.081697
RM2M,PGA,g,0.01,0.8,0.99224,0.91676,0.54016,0.098022
RM2M,PGA,g,0.01,0.85,0.99404,0.93034,0.57753,0.11542
RM2M,PGA,g,0.01,0.9,0.99539,0.94152,0.61213,0.13374
RM2M,PGA,g,0.01,0.95,0.99641,0.95075,0.64407,0.15283
RM2M,PGA,g,0.01,1,0.99719,0.95839,0.67347,0.17252
RM2H,PGA,g,0.01,0.01,0.000051659,3.4225E-07,2.5186E-11,2.8273E-16
RM2H,PGA,g,0.01,0.05,0.085669,0.0071237,0.000025058,1.1903E-08
RM2H,PGA,g,0.01,0.1,0.38787,0.085669,0.0014791,3.4177E-06
RM2H,PGA,g,0.01,0.15,0.63633,0.23136,0.0096806,0.000055497
RM2H,PGA,g,0.01,0.2,0.78761,0.38787,0.029446,0.00031809
RM2H,PGA,g,0.01,0.25,0.87427,0.52543,0.061739,0.0010809
RM2H,PGA,g,0.01,0.3,0.92389,0.63633,0.10466,0.0026999
RM2H,PGA,g,0.01,0.35,0.95279,0.72224,0.15515,0.005522
RM2H,PGA,g,0.01,0.4,0.97003,0.78761,0.21013,0.0098329
RM2H,PGA,g,0.01,0.45,0.98055,0.837,0.267,0.015832
RM2H,PGA,g,0.01,0.5,0.98712,0.87427,0.32373,0.023628
RM2H,PGA,g,0.01,0.55,0.99132,0.90247,0.3789,0.033247
RM2H,PGA,g,0.01,0.6,0.99404,0.92389,0.43155,0.044648
RM2H,PGA,g,0.01,0.65,0.99585,0.94024,0.48112,0.057737
RM2H,PGA,g,0.01,0.7,0.99707,0.95279,0.52728,0.072384
RM2H,PGA,g,0.01,0.75,0.9979,0.96249,0.56995,0.088434
RM2H,PGA,g,0.01,0.8,0.99848,0.97003,0.60914,0.10572
RM2H,PGA,g,0.01,0.85,0.99889,0.97592,0.64498,0.12407
RM2H,PGA,g,0.01,0.9,0.99918,0.98055,0.67764,0.14331
RM2H,PGA,g,0.01,0.95,0.99939,0.98421,0.70733,0.16327
RM2H,PGA,g,0.01,1,0.99954,0.98712,0.73426,0.18381
MH,PGA,g,0.01,0.01,0.000089584,3.1479E-06,4.0339E-08,7.9016E-11
MH,PGA,g,0.01,0.05,0.10898,0.022671,0.0021801,0.000051659
MH,PGA,g,0.01,0.1,0.44081,0.1792,0.038546,0.0025581
MH,PGA,g,0.01,0.15,0.68603,0.38787,0.12834,0.015152
MH,PGA,g,0.01,0.2,0.82488,0.56538,0.24674,0.043028
MH,PGA,g,0.01,0.25,0.90022,0.69612,0.36839,0.085669
MH,PGA,g,0.01,0.3,0.94152,0.78761,0.47957,0.13939
MH,PGA,g,0.01,0.35,0.96474,0.8506,0.5752,0.19984
MH,PGA,g,0.01,0.4,0.97816,0.89392,0.65478,0.26319
MH,PGA,g,0.01,0.45,0.98614,0.92389,0.71982,0.32653
MH,PGA,g,0.01,0.5,0.99101,0.94479,0.77245,0.38787
MH,PGA,g,0.01,0.55,0.99404,0.95953,0.81483,0.44593
MH,PGA,g,0.01,0.6,0.99598,0.97003,0.84892,0.5
MH,PGA,g,0.01,0.65,0.99725,0.97759,0.87634,0.54976
MH,PGA,g,0.01,0.7,0.99808,0.98308,0.89843,0.59517
MH,PGA,g,0.01,0.75,0.99865,0.98712,0.91628,0.63633
MH,PGA,g,0.01,0.8,0.99903,0.99012,0.93074,0.67347
MH,PGA,g,0.01,0.85,0.9993,0.99236,0.94249,0.70686
MH,PGA,g,0.01,0.9,0.99949,0.99404,0.95208,0.73681
MH,PGA,g,0.01,0.95,0.99962,0.99533,0.95993,0.76363
MH,PGA,g,0.01,1,0.99972,0.99631,0.96637,0.78761
