asset_ref,no_damage,slight,moderate,extreme,complete
a1144,1.993555985E+02,1.499947659E+00,8.735474985E-01,2.073113369E-01,6.359498523E-02
a1145,2.014972151E+02,1.434718363E+00,8.253814577E-01,1.898620894E-01,5.282296624E-02
a1146,2.007187363E+02,1.878420435E+00,1.081295557E+00,2.494537437E-01,7.209394247E-02
a1147,2.005743670E+02,2.538319619E+00,1.462208680E+00,3.343599914E-01,9.074468604E-02
a1148,2.009914393E+02,2.258180227E+00,1.328151985E+00,3.205514680E-01,1.016770542E-01
a1149,2.018690072E+02,1.793195295E+00,1.032902841E+00,2.379912387E-01,6.690342499E-02
a115,2.941820828E+00,3.335817352E-02,1.918668613E-02,4.398738566E-03,1.235574013E-03
a1150,1.987139939E+02,3.631144802E+00,2.074605692E+00,4.622732922E-01,1.179822709E-01
a1151,2.025816941E+02,1.958896128E+00,1.127284827E+00,2.591638108E-01,7.296110421E-02
a1152,2.015108973E+02,2.492902201E+00,1.490776837E+00,3.739530694E-01,1.314706161E-01
a1153,2.021264472E+02,2.205646253E+00,1.279425272E+00,2.995174810E-01,8.896376711E-02
a1154,2.028604316E+02,1.797224004E+00,1.035082050E+00,2.388786544E-01,6.838370790E-02
a1155,2.034248653E+02,1.471747331E+00,8.495187796E-01,1.971906568E-01,5.667794383E-02
a1156,2.030033704E+02,1.713901727E+00,9.888745203E-01,2.287889789E-01,6.506439093E-02
a1157,2.046284637E+02,1.357953068E+00,7.824103319E-01,1.806418201E-01,5.053104311E-02
a1158,2.029909489E+02,2.840330780E+00,1.655965708E+00,3.916298165E-01,1.211247476E-01
a1159,2.053177048E+02,2.113506332E+00,1.214576122E+00,2.777098663E-01,7.650283992E-02
a116,2.940907817E+00,3.320854152E-02,1.956755690E-02,4.754703378E-03,1.561381588E-03
a1160,2.062797584E+02,2.124941381E+00,1.227416021E+00,2.848586837E-01,8.302551425E-02
a1161,2.057796010E+02,2.418407769E+00,1.391948305E+00,3.195864222E-01,9.045651692E-02
a1162,2.064062738E+02,2.062524523E+00,1.184700779E+00,2.710445418E-01,7.545633993E-02
a1163,2.052971122E+02,2.695072546E+00,1.554929132E+00,3.563009491E-01,9.658519267E-02
a1164,2.078259117E+02,1.812292608E+00,1.045951915E+00,2.433195033E-01,7.252429132E-02
a1165,2.081030201E+02,1.651642152E+00,9.554632798E-01,2.233522846E-01,6.652215822E-02
