rupture_tag,aggregate_loss,insured_loss
col=00~ses=0002~src=243-216~rup=003-01,1.0595580E+04,0.0000000E+00
col=00~ses=0002~src=243-224~rup=001-01,4.5685288E+03,0.0000000E+00
col=00~ses=0002~src=272-207~rup=001-01,2.2601350E+06,0.0000000E+00
col=00~ses=0002~src=374-228~rup=001-01,1.0325809E+08,0.0000000E+00
col=00~ses=0002~src=376-127~rup=001-01,3.8010422E+04,0.0000000E+00
col=00~ses=0002~src=376-131~rup=001-01,2.9853832E+04,0.0000000E+00
col=00~ses=0002~src=376-139~rup=003-01,1.8477073E+05,0.0000000E+00
col=00~ses=0002~src=376-140~rup=001-01,2.9780254E+04,0.0000000E+00
col=00~ses=0002~src=376-156~rup=001-01,1.2092559E+05,0.0000000E+00
col=00~ses=0002~src=376-159~rup=002-01,1.7469381E+05,0.0000000E+00
col=00~ses=0002~src=376-171~rup=003-01,4.4700925E+05,0.0000000E+00
col=00~ses=0002~src=376-184~rup=002-01,2.8275703E+05,0.0000000E+00
col=00~ses=0002~src=376-203~rup=001-01,3.0405012E+05,0.0000000E+00
col=00~ses=0002~src=376-215~rup=001-01,2.9812975E+05,0.0000000E+00
col=00~ses=0002~src=386-13~rup=001-01,7.4359920E+06,0.0000000E+00
col=00~ses=0003~src=226-207~rup=002-01,2.0660756E+07,0.0000000E+00
col=00~ses=0003~src=226-216~rup=001-01,2.9226104E+04,0.0000000E+00
col=00~ses=0003~src=227-174~rup=001-01,1.9930336E+08,0.0000000E+00
col=00~ses=0003~src=227-20~rup=001-01,1.0255175E+06,0.0000000E+00
col=00~ses=0003~src=227-31~rup=001-01,5.7086275E+05,0.0000000E+00
col=00~ses=0003~src=228-148~rup=002-01,1.4451968E+07,0.0000000E+00
col=00~ses=0003~src=229-148~rup=003-01,7.2930624E+08,2.3294717E+05
col=00~ses=0003~src=229-152~rup=003-01,7.0030067E+08,1.3189678E+04
col=00~ses=0003~src=229-15~rup=001-01,3.1041190E+08,9.2753448E+02
col=00~ses=0003~src=230-12~rup=001-01,4.6012138E+08,0.0000000E+00
col=00~ses=0003~src=230-158~rup=001-01,5.0440541E+08,0.0000000E+00
col=00~ses=0003~src=230-163~rup=002-01,7.5364909E+08,0.0000000E+00
col=00~ses=0003~src=230-168~rup=003-01,7.8382432E+08,1.2134865E+03
col=00~ses=0003~src=230-272~rup=001-01,5.2621302E+08,0.0000000E+00
col=00~ses=0003~src=230-298~rup=001-01,8.7388320E+08,0.0000000E+00
col=00~ses=0003~src=231-162~rup=001-01,8.6715578E+08,0.0000000E+00
col=00~ses=0003~src=231-240~rup=002-01,7.1691386E+08,0.0000000E+00
col=00~ses=0003~src=231-273~rup=002-01,4.4067466E+08,0.0000000E+00
col=00~ses=0003~src=231-4~rup=001-01,2.0695757E+08,0.0000000E+00
col=00~ses=0003~src=231-96~rup=001-01,3.7435085E+08,1.4133541E+04
col=00~ses=0003~src=232-100~rup=002-01,3.5659901E+08,5.9484644E+02
col=00~ses=0003~src=232-116~rup=003-01,1.8847154E+09,1.9212137E+04
col=00~ses=0003~src=232-57~rup=001-01,2.1712102E+08,2.1973347E+03
col=00~ses=0003~src=233-34~rup=001-01,1.4888836E+07,0.0000000E+00
col=00~ses=0003~src=233-40~rup=002-01,4.3627468E+07,0.0000000E+00
col=00~ses=0003~src=233-51~rup=001-01,4.1088116E+07,0.0000000E+00
col=00~ses=0003~src=234-111~rup=001-01,9.2642912E+07,0.0000000E+00
col=00~ses=0003~src=234-45~rup=001-01,5.6946160E+07,0.0000000E+00
col=00~ses=0003~src=234-54~rup=001-01,1.3115989E+08,0.0000000E+00
col=00~ses=0003~src=235-199~rup=001-01,1.4360637E+08,0.0000000E+00
col=00~ses=0003~src=235-203~rup=002-01,2.9065574E+08,0.0000000E+00
col=00~ses=0003~src=235-22~rup=001-01,6.9081680E+06,0.0000000E+00
col=00~ses=0003~src=235-239~rup=002-01,1.0489304E+08,0.0000000E+00
col=00~ses=0003~src=235-284~rup=001-01,2.2415419E+08,0.0000000E+00
col=00~ses=0003~src=235-288~rup=001-01,1.9554338E+08,0.0000000E+00
col=00~ses=0003~src=235-387~rup=001-01,2.2228027E+08,0.0000000E+00
col=00~ses=0003~src=235-493~rup=002-01,3.8356986E+08,0.0000000E+00
col=00~ses=0003~src=238-114~rup=002-01,1.5384433E+07,0.0000000E+00
col=00~ses=0003~src=238-125~rup=001-01,9.8493330E+06,0.0000000E+00
col=00~ses=0003~src=238-12~rup=001-01,4.0539117E+04,0.0000000E+00
col=00~ses=0003~src=238-12~rup=004-01,9.0341812E+05,0.0000000E+00
col=00~ses=0003~src=238-130~rup=002-01,1.1123862E+07,0.0000000E+00
col=00~ses=0003~src=238-134~rup=001-01,1.4470280E+07,0.0000000E+00
col=00~ses=0003~src=238-137~rup=001-01,9.5623580E+06,0.0000000E+00
col=00~ses=0003~src=238-139~rup=001-01,1.0355477E+07,0.0000000E+00
col=00~ses=0003~src=238-139~rup=002-01,1.9274392E+07,0.0000000E+00
col=00~ses=0003~src=238-140~rup=001-01,1.0079419E+07,0.0000000E+00
col=00~ses=0003~src=238-148~rup=004-01,5.1693128E+07,0.0000000E+00
col=00~ses=0003~src=238-150~rup=002-01,1.7226716E+07,0.0000000E+00
col=00~ses=0003~src=238-16~rup=002-01,6.5527856E+05,0.0000000E+00
col=00~ses=0003~src=238-175~rup=001-01,2.1317576E+07,0.0000000E+00
col=00~ses=0003~src=238-186~rup=003-01,1.3487150E+08,0.0000000E+00
col=00~ses=0003~src=238-25~rup=003-01,1.5613486E+06,0.0000000E+00
col=00~ses=0003~src=238-32~rup=001-01,5.4674125E+05,0.0000000E+00
col=00~ses=0003~src=238-36~rup=002-01,1.0209578E+06,0.0000000E+00
col=00~ses=0003~src=238-40~rup=001-01,1.4310854E+06,0.0000000E+00
col=00~ses=0003~src=238-48~rup=001-01,1.4377158E+06,0.0000000E+00
col=00~ses=0003~src=238-49~rup=001-01,1.2007299E+06,0.0000000E+00
col=00~ses=0003~src=238-50~rup=002-01,2.2358660E+06,0.0000000E+00
col=00~ses=0003~src=238-54~rup=003-01,1.6600665E+06,0.0000000E+00
col=00~ses=0003~src=238-56~rup=004-01,4.7393980E+06,0.0000000E+00
col=00~ses=0003~src=238-63~rup=003-01,1.5528145E+07,0.0000000E+00
col=00~ses=0003~src=238-67~rup=001-01,3.9922955E+06,0.0000000E+00
col=00~ses=0003~src=238-74~rup=001-01,1.6987550E+06,0.0000000E+00
col=00~ses=0003~src=238-80~rup=001-01,3.7775452E+06,0.0000000E+00
col=00~ses=0003~src=238-86~rup=001-01,2.1808858E+06,0.0000000E+00
col=00~ses=0003~src=238-8~rup=001-01,4.2487500E+04,0.0000000E+00
col=00~ses=0003~src=238-90~rup=004-01,2.6016358E+07,0.0000000E+00
col=00~ses=0003~src=238-91~rup=001-01,2.7537962E+06,0.0000000E+00
col=00~ses=0003~src=238-98~rup=002-01,1.6942320E+07,0.0000000E+00
col=00~ses=0003~src=240-118~rup=002-01,1.1886015E+07,0.0000000E+00
col=00~ses=0003~src=240-23~rup=002-01,4.2917490E+03,0.0000000E+00
col=00~ses=0003~src=240-77~rup=002-01,1.5541796E+06,0.0000000E+00
col=00~ses=0003~src=240-78~rup=001-01,7.8735900E+05,0.0000000E+00
col=00~ses=0003~src=243-210~rup=001-01,3.1179004E+03,0.0000000E+00
col=00~ses=0003~src=243-213~rup=001-01,1.9895482E+03,0.0000000E+00
col=00~ses=0003~src=272-207~rup=001-01,1.5679112E+06,0.0000000E+00
col=00~ses=0003~src=374-0~rup=003-01,2.3519870E+07,0.0000000E+00
col=00~ses=0003~src=374-76~rup=001-01,2.5197436E+07,0.0000000E+00
col=00~ses=0003~src=376-132~rup=001-01,1.0417034E+04,0.0000000E+00
col=00~ses=0003~src=376-133~rup=001-01,2.7460845E+03,0.0000000E+00
col=00~ses=0003~src=376-142~rup=001-01,1.4378557E+04,0.0000000E+00
