Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0010|src=229-39|rup=001-01,5.2500000,171577113.3610000
smlt=00|ses=0002|src=230-315|rup=001-01,5.2500000,170640237.7860000
smlt=00|ses=0004|src=231-18|rup=001-01,5.2500000,170593444.6340000
smlt=00|ses=0007|src=232-102|rup=002-01,5.7500000,170117707.8470000
smlt=00|ses=0009|src=231-61|rup=001-01,5.2500000,167487110.9070000
smlt=00|ses=0009|src=234-89|rup=002-01,5.7500000,166513379.3530000
smlt=00|ses=0003|src=229-142|rup=002-01,5.7500000,164948968.2420000
smlt=00|ses=0009|src=230-137|rup=002-01,5.7500000,164447250.3350000
smlt=00|ses=0003|src=230-221|rup=001-01,5.2500000,162803050.8200000
smlt=00|ses=0004|src=234-34|rup=002-01,5.7500000,162659136.1190000
smlt=00|ses=0003|src=229-174|rup=002-01,5.7500000,161893566.9610000
smlt=00|ses=0009|src=232-59|rup=002-01,5.7500000,161162132.4740000
smlt=00|ses=0006|src=231-233|rup=001-01,5.2500000,159892276.7130000
smlt=00|ses=0006|src=232-114|rup=001-01,5.2500000,158941687.1630000
smlt=00|ses=0003|src=230-193|rup=001-01,5.2500000,154814812.8470000
smlt=00|ses=0008|src=234-156|rup=002-01,5.7500000,154742650.2550000
smlt=00|ses=0010|src=229-1|rup=001-01,5.2500000,154664340.9340000
smlt=00|ses=0001|src=234-42|rup=001-01,5.2500000,154219080.2330000
smlt=00|ses=0005|src=234-37|rup=001-01,5.2500000,153697984.6820000
smlt=00|ses=0002|src=229-161|rup=001-01,5.2500000,151083925.4790000
smlt=00|ses=0008|src=230-274|rup=001-01,5.2500000,150211525.9320000
smlt=00|ses=0005|src=386-51|rup=001-01,5.2500000,150080044.1270000
smlt=00|ses=0006|src=232-22|rup=002-01,5.7500000,149895164.5090000
smlt=00|ses=0002|src=229-21|rup=001-01,5.2500000,149720961.2490000
smlt=00|ses=0003|src=231-275|rup=001-01,5.2500000,149663742.9560000
smlt=00|ses=0006|src=234-40|rup=001-01,5.2500000,149063527.8010000
smlt=00|ses=0005|src=230-275|rup=001-01,5.2500000,148014354.5810000
smlt=00|ses=0010|src=232-34|rup=001-01,5.2500000,147530123.8670000
smlt=00|ses=0006|src=231-176|rup=001-01,5.2500000,147037596.5720000
smlt=00|ses=0004|src=232-62|rup=002-01,5.7500000,146167559.7450000
smlt=00|ses=0007|src=232-36|rup=001-01,5.2500000,145977281.8940000
smlt=00|ses=0007|src=234-46|rup=001-01,5.2500000,144506461.5160000
smlt=00|ses=0009|src=232-112|rup=001-01,5.2500000,143611366.7840000
smlt=00|ses=0001|src=229-157|rup=003-01,6.2500000,142920830.5010000
smlt=00|ses=0009|src=229-139|rup=001-01,5.2500000,142610939.3140000
smlt=00|ses=0006|src=231-220|rup=001-01,5.2500000,141681227.9830000
smlt=00|ses=0010|src=232-32|rup=003-01,6.2500000,141641691.5390000
