Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0008|src=229-124|rup=001-01,5.2500000,283015510.3190000
smlt=00|ses=0004|src=231-18|rup=001-01,5.2500000,282349665.1100000
smlt=00|ses=0001|src=229-106|rup=002-01,5.7500000,280977250.3060000
smlt=00|ses=0002|src=230-315|rup=001-01,5.2500000,280776793.1630000
smlt=00|ses=0003|src=234-43|rup=004-01,6.7500000,278480997.6600000
smlt=00|ses=0009|src=231-61|rup=001-01,5.2500000,277039031.0020000
smlt=00|ses=0004|src=234-133|rup=001-01,5.2500000,275649087.3410000
smlt=00|ses=0003|src=229-142|rup=002-01,5.7500000,275032527.4580000
smlt=00|ses=0009|src=230-137|rup=002-01,5.7500000,271897608.7110000
smlt=00|ses=0010|src=229-39|rup=001-01,5.2500000,269962672.0250000
smlt=00|ses=0006|src=232-114|rup=001-01,5.2500000,267140564.4720000
smlt=00|ses=0009|src=232-59|rup=002-01,5.7500000,267058596.2930000
smlt=00|ses=0004|src=234-34|rup=002-01,5.7500000,264040362.8650000
smlt=00|ses=0003|src=230-221|rup=001-01,5.2500000,260840056.1940000
smlt=00|ses=0010|src=229-1|rup=001-01,5.2500000,258985682.5960000
smlt=00|ses=0003|src=230-193|rup=001-01,5.2500000,256574045.8910000
smlt=00|ses=0002|src=229-161|rup=001-01,5.2500000,255013918.2690000
smlt=00|ses=0002|src=229-21|rup=001-01,5.2500000,253979625.9180000
smlt=00|ses=0003|src=231-275|rup=001-01,5.2500000,250773437.4940000
smlt=00|ses=0006|src=231-233|rup=001-01,5.2500000,250507750.2410000
smlt=00|ses=0008|src=230-274|rup=001-01,5.2500000,249170594.2940000
smlt=00|ses=0005|src=230-275|rup=001-01,5.2500000,245686308.5790000
smlt=00|ses=0006|src=232-22|rup=002-01,5.7500000,244358104.4620000
smlt=00|ses=0004|src=232-62|rup=002-01,5.7500000,244120435.4570000
smlt=00|ses=0009|src=234-89|rup=002-01,5.7500000,243625607.7240000
smlt=00|ses=0006|src=231-176|rup=001-01,5.2500000,243134473.8920000
smlt=00|ses=0010|src=232-34|rup=001-01,5.2500000,241733781.2080000
smlt=00|ses=0007|src=232-36|rup=001-01,5.2500000,240119627.6140000
smlt=00|ses=0005|src=234-37|rup=001-01,5.2500000,239541458.7940000
smlt=00|ses=0001|src=229-157|rup=003-01,6.2500000,239293764.9620000
smlt=00|ses=0008|src=234-156|rup=002-01,5.7500000,238943876.9370000
smlt=00|ses=0009|src=232-112|rup=001-01,5.2500000,238797742.1140000
